Time,Queue Size,Packet Loss,Link Utilization,Global Sync Detected,Average Queue Depth,Times Problem Detected,Average Time Difference between Problem,Variance of Time Difference
374,138,18,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
375,142,18,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
376,148,18,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
377,156,18,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
378,166,18,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
379,178,18,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
380,192,19,100.000000,1.000000,0.000000,4,79331.335938,230164336.000000
381,169,19,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
382,149,19,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
383,132,19,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
384,118,19,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
385,107,19,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
386,99,19,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
387,95,19,99.000000,0.000000,0.000000,4,79331.335938,230164336.000000
388,98,19,95.000000,0.000000,0.000000,4,79331.335938,230164336.000000
389,101,19,98.000000,0.000000,0.000000,4,79331.335938,230164336.000000
390,105,19,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
391,112,19,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
392,121,19,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
393,132,19,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
394,145,19,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
395,160,19,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
396,177,19,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
397,193,20,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
398,175,20,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
399,160,20,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
400,148,20,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
401,139,20,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
402,133,20,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
403,130,20,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
404,130,20,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
405,133,20,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
406,138,20,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
407,145,20,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
408,154,20,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
409,165,20,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
410,178,20,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
411,188,21,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
412,166,21,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
413,147,21,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
414,131,21,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
